gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2017-03-15,0,1,0.9874269877,0.8030670573,0.5891051434,0.4017442713,0.2411313907,0.1499472612,1,222,Villanova,95.18,East,1
mens,2017-03-15,0,1,0.9767956307,0.8402032783,0.595332929,0.4146640165,0.2293208715,0.1384253406,1,2250,Gonzaga,93.71,West,1
mens,2017-03-15,0,1,0.9831906445,0.8083029898,0.558245868,0.3812757169,0.2125882549,0.1040159911,1,2305,Kansas,92.18,Midwest,1
mens,2017-03-15,0,1,0.9668063788,0.6819234073,0.4749623401,0.3023262009,0.1682601387,0.0818101115,1,96,Kentucky,92.28,South,2
mens,2017-03-15,0,1,0.9792753395,0.7987247127,0.5798419796,0.2985657181,0.1547844418,0.0699636578,1,153,North Carolina,91.74,South,1
mens,2017-03-15,0,1,0.9669034943,0.7798696872,0.5108063091,0.2368577823,0.122240776,0.0667141244,1,150,Duke,92.26,East,2
mens,2017-03-15,0,1,0.9738181185,0.6681855225,0.4651793865,0.2159678622,0.1107247735,0.0496933236,1,97,Louisville,90.8,Midwest,2
mens,2017-03-15,0,1,0.952501635,0.5682750776,0.3924533617,0.1610122161,0.0796408317,0.0439334723,1,12,Arizona,88.99,West,2
mens,2017-03-15,0,1,0.901829515,0.6456009905,0.2560059814,0.1468902042,0.0677408503,0.0353134828,1,277,West Virginia,90.8,West,4
mens,2017-03-15,0,1,0.8447669115,0.4915776906,0.1787388956,0.0959960376,0.0473304227,0.0248353949,1,258,Virginia,90.02,East,5
mens,2017-03-15,0,1,0.9417236426,0.6112150434,0.2073868846,0.0971777339,0.0525361983,0.0247881664,1,26,UCLA,88.02,South,3
mens,2017-03-15,0,1,0.7377707877,0.3505516717,0.2575204819,0.1177705046,0.0461330194,0.0210640098,1,2608,Saint Mary's (CA),87.39,West,7
mens,2017-03-15,0,1,0.859696311,0.5061289131,0.1961559726,0.1060248142,0.0493060819,0.0200537417,1,2509,Purdue,88.61,Midwest,4
mens,2017-03-15,0,1,0.6923583095,0.2442167628,0.1499513688,0.0838745224,0.0437567647,0.019905401,1,2724,Wichita State,88.86,South,10
mens,2017-03-15,0,1,0.8039452832,0.4634545392,0.2004347035,0.0724175202,0.0338835606,0.0169967687,1,2567,Southern Methodist,88.43,East,6
mens,2017-03-15,0,1,0.8308796306,0.4192654504,0.1649439678,0.0901213816,0.0413803675,0.0166174592,1,66,Iowa State,87.92,Midwest,5
mens,2017-03-15,0,1,0.9034988849,0.4613102911,0.1886778473,0.064359379,0.0288998537,0.0139931149,1,239,Baylor,87.66,East,3
mens,2017-03-15,0,1,0.9224531448,0.6125309105,0.2108195097,0.0659203659,0.0294730846,0.0115258562,1,2483,Oregon,87.3,Midwest,3
mens,2017-03-15,0,1,0.8902059061,0.6201256111,0.2313908223,0.0862911847,0.0329823117,0.0110216285,1,2086,Butler,86.52,South,4
